Titre﻿;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand
2011-T1;100;100;100;100
2011-T2;100;98,5;100,4;100,1
2011-T3;99,1;98,5;100,3;99,9
2011-T4;98,6;99;100,6;99,7
2012-T1;99,2;99,7;100,6;99,7
2012-T2;99;98,6;101;99,3
2012-T3;99,4;98,9;100,2;99,1
2012-T4;99,3;98,7;100,4;98,8
2013-T1;99,2;97,1;100,2;99,1
2013-T2;98,9;96,4;99,8;99,4
2013-T3;98,1;95,9;100,3;98,2
2013-T4;97,9;95,5;100,5;99,8
2014-T1;98,1;95,9;101;99,6
2014-T2;96,7;95,5;101,1;99,3
2014-T3;97,5;94,3;101,4;99,5
2014-T4;96,5;92,5;101,7;99,1
2015-T1;95,4;91;101,8;98,3
2015-T2;94,7;90,1;102,3;98,4
2015-T3;94;88,4;102,5;98,5
2015-T4;93,2;89;102,6;99
2016-T1;93,2;87,6;102,8;99,5
2016-T2;93;86,9;103;99,7
2016-T3;92,4;86,1;103,1;100
2016-T4;92,5;85,4;103,4;100,1
2017-T1;92,4;86;104;100,2
2017-T2;92;86,8;104,5;100,8
2017-T3;90,5;86,6;104,7;100,2
2017-T4;86,5;87,6;105,5;100,3
2018-T1;86,1;89,4;106;100,3
2018-T2;87,1;91,9;106,3;100,1
2018-T3;87,1;92,1;106,7;100,1
2018-T4;87,5;94,4;107,7;100
2019-T1;86,8;98,2;108,8;99,9
2019-T2;87,1;101,9;109,2;99,7
2019-T3;87,2;103,5;109,9;100
2019-T4;85,5;105,2;110,5;99,6
2020-T1;84,8;104,1;109,1;99,7
2020-T2;84,5;106,2;107;98,1
2020-T3;83,6;109,2;108,2;99,7
2020-T4;83,6;109,6;107,3;100,1
2021-T1;84,4;111,8;108,3;100,4
2021-T2;84,9;113,3;109,9;100,5
2021-T3;86;113,5;112,1;101
2021-T4;87,6;113,6;113,9;100,4
2022-T1;88,5;113,2;115,5;100,7
2022-T2;88,4;114,6;116,8;100,5
2022-T3;88,7;113,4;118;99,7
2022-T4;90,5;113,2;119,5;100,5
2023-T1;91,5;114,1;120,2;100,1
2023-T2;93;114,6;120,4;100,1
2023-T3;92,2;112,9;120,9;100
2023-T4;93,1;112,9;121;100,7
2024-T1;93,6;112,2;121,5;101
2024-T2;93,5;110,5;121,7;101,7
2024-T3;94;109,5;121,5;102
2024-T4;94,1;108,4;121,2;101,8
2025-T1;93,1;108,2;121,1;102
2025-T2;93,2;106,3;121,3;101,8
2025-T3;93,9;105,9;121,2;102,7
2025-T4;94,3;104,2;120,9;102,1


