;Paris;Métropole du Grand Paris
2012-T1;13030;25631
2012-T2;10723;21718
2012-T3;10012;19832
2012-T4;11819;23319
2013-T1;12389;24909
2013-T2;10770;21985
2013-T3;9644;19731
2013-T4;12125;24359
2014-T1;12731;25937
2014-T2;11462;23072
2014-T3;10561;21474
2014-T4;13178;26896
2015-T1;12776;25594
2015-T2;11872;23976
2015-T3;11515;22985
2015-T4;14461;28629
2016-T1;14778;29515
2016-T2;14346;29030
2016-T3;12932;25804
2016-T4;16490;32026
2017-T1;16795;33738
2017-T2;14612;30025
2017-T3;13888;28787
2017-T4;18265;37360
2018-T1;18748;39978
2018-T2;16708;36106
2018-T3;15438;33051
2018-T4;19801;42238
2019-T1;21214;46247
2019-T2;18632;40964
2019-T3;17149;36516
2019-T4;21156;44813
2020-T1;19015;41204
2020-T2;14008;31524
2020-T3;19949;45747
2020-T4;23809;52765
2021-T1;23349;53199
2021-T2;20065;44724
2021-T3;18336;40036
2021-T4;22240;47693
2022-T1;23209;51059
2022-T2;20114;43316
2022-T3;20690;44964
2022-T4;24912;53385
2023-T1;22824;49788
2023-T2;21394;46455
2023-T3;21704;47872
2023-T4;25048;54774
2024-T1;27018;57989
2024-T2;23786;52577
2024-T3;21913;46493
2024-T4;28256;55742
2025-T1;29860;58704
2025-T2;28356;54749
2025-T3;28145;54371
